"Subgroup","Outcome","k","Estimate","CI_lower","CI_upper","PI_lower","PI_upper","I2_pct","tau2","tau2_CI_lower","tau2_CI_upper","Q_p"
"Phase 3 only","MG-ADL",13,-1.592,-2.311,-0.873,-4.095,0.911,88,1.2107,0.5305,3.6846,0
"Phase 3 only","QMG",13,-1.545,-2.482,-0.607,-4.549,1.459,86.2,1.7152,0.748,6.9456,0
"Phase 3 only","MGC",7,-3.516,-4.892,-2.14,-6.782,-0.25,73.6,1.465,0.2591,10.9367,0.0024
"Parallel only","MG-ADL",23,-1.576,-2.027,-1.125,-3.529,0.378,77.8,0.8399,0.3547,1.7607,0
"Parallel only","QMG",23,-1.853,-2.432,-1.275,-4.136,0.429,74.2,1.1331,0.4652,3.1039,0
"Parallel only","MGC",16,-3.509,-4.243,-2.776,-5.755,-1.264,54.4,0.9916,0.0879,3.4228,0.0093
